report_received_date,manufacturer,component,recall_type,potentially_affected
01/06/2023,Triple E Recreational Vehicles,ELECTRICAL SYSTEM,Vehicle,341.0
01/05/2023,"Volvo Car USA, LLC",STEERING,Vehicle,74.0
12/29/2022,"Volkswagen Group of America, Inc.",ELECTRICAL SYSTEM,Vehicle,1042.0
12/29/2022,Indian Motorcycle Company,STRUCTURE,Vehicle,4653.0
12/29/2022,Hendrickson USA. L.L.C.,"SERVICE BRAKES, AIR",Equipment,12.0
12/23/2022,Lion Electric Company,SUSPENSION,Vehicle,13.0
12/23/2022,"WARN Industries, Inc.",ELECTRICAL SYSTEM,Equipment,121187.0
12/23/2022,"Mercedes-Benz USA, LLC","FUEL SYSTEM, DIESEL",Vehicle,323963.0
12/23/2022,Ford Motor Company,SEAT BELTS,Vehicle,101001.0
12/23/2022,"Mercedes-Benz USA, LLC",VISIBILITY,Vehicle,123696.0
12/22/2022,"Shadow Trailer, LLC",EQUIPMENT,Vehicle,12.0
12/22/2022,Honda (American Honda Motor Co.),TIRES,Vehicle,19.0
12/22/2022,"Chrysler (FCA US, LLC)",BACK OVER PREVENTION,Vehicle,38.0
12/22/2022,"Kibbi, LLC",EQUIPMENT,Vehicle,292.0
12/22/2022,REV Recreation Group,EQUIPMENT,Vehicle,1540.0
12/21/2022,"Volkswagen Group of America, Inc.",AIR BAGS,Vehicle,37558.0
12/20/2022,"BMW of North America, LLC",ELECTRICAL SYSTEM,Vehicle,14086.0
12/20/2022,"New Flyer of America, Inc.",STEERING,Vehicle,746.0
12/19/2022,"BMW of North America, LLC",SEATS,Vehicle,4.0
12/16/2022,"Mercedes-Benz USA, LLC",LATCHES/LOCKS/LINKAGES,Vehicle,11.0
12/16/2022,Hyundai Motor America,ELECTRICAL SYSTEM,Vehicle,853.0
12/16/2022,Lightning eMotors Inc.,ELECTRICAL SYSTEM,Vehicle,27.0
12/16/2022,"Mercedes-Benz USA, LLC",STRUCTURE,Vehicle,1.0
12/16/2022,"Mercedes-Benz USA, LLC",STEERING,Vehicle,69.0
12/16/2022,PACCAR Incorporated,VISIBILITY,Vehicle,2565.0
12/16/2022,"Mercedes-Benz USA, LLC",POWER TRAIN,Vehicle,278.0
12/16/2022,PACCAR Incorporated,SUSPENSION,Vehicle,15658.0
12/15/2022,"Airstream, Inc.",EQUIPMENT,Vehicle,1992.0
12/15/2022,"General Motors, LLC",SEAT BELTS,Vehicle,111242.0
12/15/2022,Ridewell Corporation,"SERVICE BRAKES, AIR",Equipment,186.0
12/15/2022,"Airstream, Inc.",EQUIPMENT,Vehicle,200.0
12/15/2022,"General Motors, LLC",AIR BAGS,Vehicle,9.0
12/15/2022,Yokohama Tire Corporation,TIRES,Tire,6125.0
12/15/2022,"Jayco, Inc.",VISIBILITY,Vehicle,37.0
12/14/2022,"General Motors, LLC",STRUCTURE,Vehicle,2108.0
12/14/2022,Ford Motor Company,"FUEL SYSTEM, GASOLINE",Vehicle,11074.0
12/14/2022,"Polestar Automotive USA, Inc.",ELECTRICAL SYSTEM,Vehicle,66.0
12/14/2022,Ford Motor Company,AIR BAGS,Vehicle,1226.0
12/14/2022,"Volkswagen Group of America, Inc.",SUSPENSION,Vehicle,96.0
12/14/2022,Williamsen-Godwin Truck Body Company LLC,STEERING,Equipment,12.0
12/13/2022,Easymile Inc.,ELECTRICAL SYSTEM,Vehicle,4.0
12/13/2022,"Jayco, Inc.",ELECTRICAL SYSTEM,Vehicle,90.0
12/13/2022,"Porsche Cars North America, Inc.",SUSPENSION,Vehicle,28.0
12/13/2022,"Forest River, Inc.",EQUIPMENT,Vehicle,262.0
12/12/2022,"Daimler Trucks North America, LLC",TIRES,Vehicle,49.0
12/12/2022,Volvo Bus Corporation,EQUIPMENT,Vehicle,20.0
12/12/2022,Prevost Car (US) Inc.,ENGINE,Vehicle,22.0
12/12/2022,East Manufacturing Corp.,STEERING,Vehicle,17.0
12/11/2022,Braun Ambulances,STRUCTURE,Vehicle,11.0
12/09/2022,Braun Ambulances,VISIBILITY,Vehicle,1321.0
12/09/2022,"Kawasaki Motors Corp., U.S.A.",ENGINE AND ENGINE COOLING,Vehicle,3172.0
12/09/2022,"Daimler Trucks North America, LLC",POWER TRAIN,Vehicle,23.0
12/09/2022,"Kawasaki Motors Corp., U.S.A.",ELECTRICAL SYSTEM,Vehicle,200.0
12/08/2022,McLaren Automotive Incorporated,"FUEL SYSTEM, GASOLINE",Vehicle,164.0
12/08/2022,"Subaru of America, Inc.",ELECTRICAL SYSTEM,Vehicle,271694.0
12/08/2022,Hyundai Translead,"SERVICE BRAKES, AIR",Vehicle,39.0
12/08/2022,"Navistar, Inc.",SUSPENSION,Vehicle,6948.0
12/08/2022,"Navistar, Inc.",SUSPENSION,Vehicle,46.0
12/08/2022,"Kia America, Inc.",STEERING,Vehicle,939.0
12/08/2022,"Michelin North America, Inc.",TIRES,Tire,16983.0
12/08/2022,"General Motors, LLC",EXTERIOR LIGHTING,Vehicle,740108.0
12/08/2022,"Chrysler (FCA US, LLC)",STRUCTURE,Vehicle,1224078.0
12/07/2022,"Volkswagen Group of America, Inc.",EQUIPMENT,Vehicle,297.0
12/07/2022,Nova Bus (US) Inc.,EXTERIOR LIGHTING,Vehicle,519.0
12/06/2022,"Porsche Cars North America, Inc.",AIR BAGS,Vehicle,53.0
12/06/2022,Volvo Trucks North America,"SERVICE BRAKES, AIR",Vehicle,412.0
12/06/2022,"Kia America, Inc.",ELECTRICAL SYSTEM,Vehicle,872.0
12/06/2022,"Hino Motors Sales U.S.A., Inc.","FUEL SYSTEM, DIESEL",Vehicle,970.0
12/06/2022,"KTM North America, Inc.",ELECTRICAL SYSTEM,Vehicle,1040.0
12/05/2022,"Old School Trailers, LLC",EQUIPMENT,Vehicle,16.0
12/05/2022,"LDV, Inc.",EQUIPMENT,Equipment,26.0
12/05/2022,"Tesla, Inc.",SUSPENSION,Vehicle,9.0
12/05/2022,"Continental Tire the Americas, LLC",TIRES,Tire,2937.0
12/02/2022,"Terex South Dakota, Inc.",EQUIPMENT,Vehicle,431.0
12/02/2022,Entegra Coach,"SERVICE BRAKES, AIR",Vehicle,394.0
12/02/2022,Newmar Corporation,STEERING,Vehicle,30.0
12/02/2022,Pierce Manufacturing,STEERING,Vehicle,17.0
12/01/2022,"Terex South Dakota, Inc.",EQUIPMENT,Vehicle,40.0
